County,Cases,Hospitalizations,Deaths,Date,State,Abbr,FIPS
Accomack,1042,72,14,2020-07-06,Virginia,VA,51001
Albemarle,472,36,10,2020-07-06,Virginia,VA,51003
Alleghany,38,5,2,2020-07-06,Virginia,VA,51005
Amelia,46,11,1,2020-07-06,Virginia,VA,51007
Amherst,38,3,0,2020-07-06,Virginia,VA,51009
Appomattox,44,2,0,2020-07-06,Virginia,VA,51011
Arlington,2550,422,131,2020-07-06,Virginia,VA,51013
Augusta,200,7,2,2020-07-06,Virginia,VA,51015
Bath,0,0,0,2020-07-06,Virginia,VA,51017
Bedford,140,2,4,2020-07-06,Virginia,VA,51019
Bland,2,0,0,2020-07-06,Virginia,VA,51021
Botetourt,145,12,4,2020-07-06,Virginia,VA,51023
Brunswick,116,16,1,2020-07-06,Virginia,VA,51025
Buchanan,34,0,0,2020-07-06,Virginia,VA,51027
Buckingham,570,21,5,2020-07-06,Virginia,VA,51029
Campbell,53,3,1,2020-07-06,Virginia,VA,51031
Caroline,129,15,4,2020-07-06,Virginia,VA,51033
Carroll,235,19,9,2020-07-06,Virginia,VA,51035
Charles City,41,14,3,2020-07-06,Virginia,VA,51036
Charlotte,33,4,0,2020-07-06,Virginia,VA,51037
Chesterfield,3059,137,56,2020-07-06,Virginia,VA,51041
Clarke,58,5,0,2020-07-06,Virginia,VA,51043
Craig,9,0,0,2020-07-06,Virginia,VA,51045
Culpeper,829,63,11,2020-07-06,Virginia,VA,51047
Cumberland,58,4,0,2020-07-06,Virginia,VA,51049
Dickenson,5,0,0,2020-07-06,Virginia,VA,51051
Dinwiddie,152,23,2,2020-07-06,Virginia,VA,51053
Essex,59,4,0,2020-07-06,Virginia,VA,51057
Fairfax,14191,1681,495,2020-07-06,Virginia,VA,51059
Fauquier,450,29,8,2020-07-06,Virginia,VA,51061
Floyd,21,2,1,2020-07-06,Virginia,VA,51063
Fluvanna,123,26,8,2020-07-06,Virginia,VA,51065
Franklin County,104,6,1,2020-07-06,Virginia,VA,51067
Frederick,524,42,6,2020-07-06,Virginia,VA,51069
Giles,18,1,0,2020-07-06,Virginia,VA,51071
Gloucester,53,9,1,2020-07-06,Virginia,VA,51073
Goochland,128,23,6,2020-07-06,Virginia,VA,51075
Grayson,91,6,2,2020-07-06,Virginia,VA,51077
Greene,76,7,2,2020-07-06,Virginia,VA,51079
Greensville,367,20,8,2020-07-06,Virginia,VA,51081
Halifax,68,4,1,2020-07-06,Virginia,VA,51083
Hanover,452,66,31,2020-07-06,Virginia,VA,51085
Henrico,2708,265,163,2020-07-06,Virginia,VA,51087
Henry,301,24,5,2020-07-06,Virginia,VA,51089
Highland,3,0,0,2020-07-06,Virginia,VA,51091
Isle of Wight,199,16,9,2020-07-06,Virginia,VA,51093
James City,306,58,15,2020-07-06,Virginia,VA,51095
King and Queen,24,4,1,2020-07-06,Virginia,VA,51097
King George,100,15,4,2020-07-06,Virginia,VA,51099
King William,47,6,1,2020-07-06,Virginia,VA,51101
Lancaster,11,1,0,2020-07-06,Virginia,VA,51103
Lee,16,1,0,2020-07-06,Virginia,VA,51105
Loudoun,4252,280,93,2020-07-06,Virginia,VA,51107
Louisa,132,15,2,2020-07-06,Virginia,VA,51109
Lunenburg,39,3,0,2020-07-06,Virginia,VA,51111
Madison,46,4,1,2020-07-06,Virginia,VA,51113
Mathews,6,2,0,2020-07-06,Virginia,VA,51115
Mecklenburg,249,31,28,2020-07-06,Virginia,VA,51117
Middlesex,15,1,0,2020-07-06,Virginia,VA,51119
Montgomery,167,11,2,2020-07-06,Virginia,VA,51121
Nelson,21,0,0,2020-07-06,Virginia,VA,51125
New Kent,62,7,1,2020-07-06,Virginia,VA,51127
Northampton,272,41,28,2020-07-06,Virginia,VA,51131
Northumberland,37,0,1,2020-07-06,Virginia,VA,51133
Nottoway,114,23,2,2020-07-06,Virginia,VA,51135
Orange,154,14,3,2020-07-06,Virginia,VA,51137
Page,290,30,23,2020-07-06,Virginia,VA,51139
Patrick,48,4,1,2020-07-06,Virginia,VA,51141
Pittsylvania,139,23,1,2020-07-06,Virginia,VA,51143
Powhatan,86,7,2,2020-07-06,Virginia,VA,51145
Prince Edward,216,24,6,2020-07-06,Virginia,VA,51147
Prince George,246,12,1,2020-07-06,Virginia,VA,51149
Prince William,7638,691,148,2020-07-06,Virginia,VA,51153
Pulaski,48,7,2,2020-07-06,Virginia,VA,51155
Rappahannock,30,3,0,2020-07-06,Virginia,VA,51157
Richmond County,300,13,4,2020-07-06,Virginia,VA,51159
Roanoke County,292,11,6,2020-07-06,Virginia,VA,51161
Rockbridge,33,0,0,2020-07-06,Virginia,VA,51163
Rockingham,751,78,11,2020-07-06,Virginia,VA,51165
Russell,14,2,0,2020-07-06,Virginia,VA,51167
Scott,11,2,2,2020-07-06,Virginia,VA,51169
Shenandoah,600,67,34,2020-07-06,Virginia,VA,51171
Smyth,42,5,1,2020-07-06,Virginia,VA,51173
Southampton,165,8,8,2020-07-06,Virginia,VA,51175
Spotsylvania,1048,80,31,2020-07-06,Virginia,VA,51177
Stafford,1022,96,5,2020-07-06,Virginia,VA,51179
Surry,17,4,1,2020-07-06,Virginia,VA,51181
Sussex,211,13,5,2020-07-06,Virginia,VA,51183
Tazewell,22,0,0,2020-07-06,Virginia,VA,51185
Warren,300,18,8,2020-07-06,Virginia,VA,51187
Washington,68,8,4,2020-07-06,Virginia,VA,51191
Westmoreland,118,12,2,2020-07-06,Virginia,VA,51193
Wise,32,12,2,2020-07-06,Virginia,VA,51195
Wythe,57,6,1,2020-07-06,Virginia,VA,51197
York,131,10,3,2020-07-06,Virginia,VA,51199
Alexandria,2399,241,57,2020-07-06,Virginia,VA,51510
Bristol,5,1,0,2020-07-06,Virginia,VA,51520
Buena Vista City,16,1,0,2020-07-06,Virginia,VA,51530
Charlottesville,239,17,7,2020-07-06,Virginia,VA,51540
Chesapeake,1046,154,22,2020-07-06,Virginia,VA,51550
Colonial Heights,151,15,18,2020-07-06,Virginia,VA,51570
Covington,5,0,0,2020-07-06,Virginia,VA,51580
Danville,99,20,2,2020-07-06,Virginia,VA,51590
Emporia,145,23,15,2020-07-06,Virginia,VA,51595
Fairfax City,72,6,7,2020-07-06,Virginia,VA,51600
Falls Church,54,11,8,2020-07-06,Virginia,VA,51610
Franklin City,58,4,2,2020-07-06,Virginia,VA,51620
Fredericksburg,260,26,0,2020-07-06,Virginia,VA,51630
Galax,281,30,16,2020-07-06,Virginia,VA,51640
Hampton,390,41,5,2020-07-06,Virginia,VA,51650
Harrisonburg,967,72,28,2020-07-06,Virginia,VA,51660
Hopewell,191,19,3,2020-07-06,Virginia,VA,51670
Lexington,13,0,0,2020-07-06,Virginia,VA,51678
Lynchburg,169,6,1,2020-07-06,Virginia,VA,51680
Manassas City,1458,105,18,2020-07-06,Virginia,VA,51683
Manassas Park,447,48,6,2020-07-06,Virginia,VA,51685
Martinsville,98,12,1,2020-07-06,Virginia,VA,51690
Newport News,613,45,10,2020-07-06,Virginia,VA,51700
Norfolk,1162,116,12,2020-07-06,Virginia,VA,51710
Norton,4,2,0,2020-07-06,Virginia,VA,51720
Petersburg,311,47,5,2020-07-06,Virginia,VA,51730
Poquoson,19,2,0,2020-07-06,Virginia,VA,51735
Portsmouth,572,75,18,2020-07-06,Virginia,VA,51740
Radford,14,1,0,2020-07-06,Virginia,VA,51750
Richmond City,2301,228,29,2020-07-06,Virginia,VA,51760
Roanoke City,502,14,10,2020-07-06,Virginia,VA,51770
Salem,83,3,3,2020-07-06,Virginia,VA,51775
Staunton,81,7,0,2020-07-06,Virginia,VA,51790
Suffolk,470,63,38,2020-07-06,Virginia,VA,51800
Virginia Beach,1455,124,30,2020-07-06,Virginia,VA,51810
Waynesboro,102,7,0,2020-07-06,Virginia,VA,51820
Williamsburg,75,12,6,2020-07-06,Virginia,VA,51830
Winchester,334,24,3,2020-07-06,Virginia,VA,51840
Accomack,1044,72,14,2020-07-05,Virginia,VA,51001
Albemarle,467,36,9,2020-07-05,Virginia,VA,51003
Alleghany,36,5,2,2020-07-05,Virginia,VA,51005
Amelia,45,11,1,2020-07-05,Virginia,VA,51007
Amherst,38,3,0,2020-07-05,Virginia,VA,51009
Appomattox,43,2,0,2020-07-05,Virginia,VA,51011
Arlington,2533,421,131,2020-07-05,Virginia,VA,51013
Augusta,194,7,2,2020-07-05,Virginia,VA,51015
Bath,0,0,0,2020-07-05,Virginia,VA,51017
Bedford,140,2,3,2020-07-05,Virginia,VA,51019
Bland,2,0,0,2020-07-05,Virginia,VA,51021
Botetourt,139,12,4,2020-07-05,Virginia,VA,51023
Brunswick,113,15,1,2020-07-05,Virginia,VA,51025
Buchanan,33,0,0,2020-07-05,Virginia,VA,51027
Buckingham,571,20,4,2020-07-05,Virginia,VA,51029
Campbell,51,3,1,2020-07-05,Virginia,VA,51031
Caroline,129,15,4,2020-07-05,Virginia,VA,51033
Carroll,233,19,9,2020-07-05,Virginia,VA,51035
Charles City,41,14,3,2020-07-05,Virginia,VA,51036
Charlotte,33,4,0,2020-07-05,Virginia,VA,51037
Chesterfield,3026,128,53,2020-07-05,Virginia,VA,51041
Clarke,57,5,0,2020-07-05,Virginia,VA,51043
Craig,8,0,0,2020-07-05,Virginia,VA,51045
Culpeper,823,63,11,2020-07-05,Virginia,VA,51047
Cumberland,57,4,0,2020-07-05,Virginia,VA,51049
Dickenson,5,0,0,2020-07-05,Virginia,VA,51051
Dinwiddie,151,23,2,2020-07-05,Virginia,VA,51053
Essex,59,4,0,2020-07-05,Virginia,VA,51057
Fairfax,14205,1662,495,2020-07-05,Virginia,VA,51059
Fauquier,446,28,7,2020-07-05,Virginia,VA,51061
Floyd,21,2,1,2020-07-05,Virginia,VA,51063
Fluvanna,121,26,8,2020-07-05,Virginia,VA,51065
Franklin County,104,6,1,2020-07-05,Virginia,VA,51067
Frederick,520,42,6,2020-07-05,Virginia,VA,51069
Giles,18,1,0,2020-07-05,Virginia,VA,51071
Gloucester,50,9,1,2020-07-05,Virginia,VA,51073
Goochland,127,23,6,2020-07-05,Virginia,VA,51075
Grayson,90,6,2,2020-07-05,Virginia,VA,51077
Greene,75,7,1,2020-07-05,Virginia,VA,51079
Greensville,368,19,7,2020-07-05,Virginia,VA,51081
Halifax,65,4,1,2020-07-05,Virginia,VA,51083
Hanover,449,67,29,2020-07-05,Virginia,VA,51085
Henrico,2685,264,159,2020-07-05,Virginia,VA,51087
Henry,293,24,4,2020-07-05,Virginia,VA,51089
Highland,3,0,0,2020-07-05,Virginia,VA,51091
Isle of Wight,194,16,9,2020-07-05,Virginia,VA,51093
James City,297,58,15,2020-07-05,Virginia,VA,51095
King and Queen,24,4,1,2020-07-05,Virginia,VA,51097
King George,100,15,4,2020-07-05,Virginia,VA,51099
King William,44,5,0,2020-07-05,Virginia,VA,51101
Lancaster,11,1,0,2020-07-05,Virginia,VA,51103
Lee,16,1,0,2020-07-05,Virginia,VA,51105
Loudoun,4216,278,90,2020-07-05,Virginia,VA,51107
Louisa,131,15,1,2020-07-05,Virginia,VA,51109
Lunenburg,39,3,0,2020-07-05,Virginia,VA,51111
Madison,45,4,1,2020-07-05,Virginia,VA,51113
Mathews,6,2,0,2020-07-05,Virginia,VA,51115
Mecklenburg,249,31,28,2020-07-05,Virginia,VA,51117
Middlesex,15,1,0,2020-07-05,Virginia,VA,51119
Montgomery,163,11,2,2020-07-05,Virginia,VA,51121
Nelson,21,0,0,2020-07-05,Virginia,VA,51125
New Kent,60,7,1,2020-07-05,Virginia,VA,51127
Northampton,272,41,28,2020-07-05,Virginia,VA,51131
Northumberland,37,0,1,2020-07-05,Virginia,VA,51133
Nottoway,114,23,2,2020-07-05,Virginia,VA,51135
Orange,153,14,3,2020-07-05,Virginia,VA,51137
Page,285,29,23,2020-07-05,Virginia,VA,51139
Patrick,48,3,1,2020-07-05,Virginia,VA,51141
Pittsylvania,137,23,1,2020-07-05,Virginia,VA,51143
Powhatan,84,6,2,2020-07-05,Virginia,VA,51145
Prince Edward,214,24,6,2020-07-05,Virginia,VA,51147
Prince George,245,12,1,2020-07-05,Virginia,VA,51149
Prince William,7582,675,147,2020-07-05,Virginia,VA,51153
Pulaski,48,7,2,2020-07-05,Virginia,VA,51155
Rappahannock,26,2,0,2020-07-05,Virginia,VA,51157
Richmond County,299,12,4,2020-07-05,Virginia,VA,51159
Roanoke County,287,11,6,2020-07-05,Virginia,VA,51161
Rockbridge,33,0,0,2020-07-05,Virginia,VA,51163
Rockingham,744,78,11,2020-07-05,Virginia,VA,51165
Russell,14,2,0,2020-07-05,Virginia,VA,51167
Scott,11,2,2,2020-07-05,Virginia,VA,51169
Shenandoah,598,66,34,2020-07-05,Virginia,VA,51171
Smyth,42,5,1,2020-07-05,Virginia,VA,51173
Southampton,163,8,7,2020-07-05,Virginia,VA,51175
Spotsylvania,1038,78,31,2020-07-05,Virginia,VA,51177
Stafford,1012,96,5,2020-07-05,Virginia,VA,51179
Surry,17,4,1,2020-07-05,Virginia,VA,51181
Sussex,210,13,5,2020-07-05,Virginia,VA,51183
Tazewell,17,0,0,2020-07-05,Virginia,VA,51185
Warren,299,18,8,2020-07-05,Virginia,VA,51187
Washington,67,8,4,2020-07-05,Virginia,VA,51191
Westmoreland,116,12,2,2020-07-05,Virginia,VA,51193
Wise,32,12,2,2020-07-05,Virginia,VA,51195
Wythe,58,6,1,2020-07-05,Virginia,VA,51197
York,131,10,3,2020-07-05,Virginia,VA,51199
Alexandria,2380,240,57,2020-07-05,Virginia,VA,51510
Bristol,5,1,0,2020-07-05,Virginia,VA,51520
Buena Vista City,15,1,0,2020-07-05,Virginia,VA,51530
Charlottesville,237,17,6,2020-07-05,Virginia,VA,51540
Chesapeake,1026,147,21,2020-07-05,Virginia,VA,51550
Colonial Heights,150,15,18,2020-07-05,Virginia,VA,51570
Covington,5,0,0,2020-07-05,Virginia,VA,51580
Danville,99,20,2,2020-07-05,Virginia,VA,51590
Emporia,143,23,15,2020-07-05,Virginia,VA,51595
Fairfax City,71,6,7,2020-07-05,Virginia,VA,51600
Falls Church,55,11,8,2020-07-05,Virginia,VA,51610
Franklin City,55,4,2,2020-07-05,Virginia,VA,51620
Fredericksburg,255,26,0,2020-07-05,Virginia,VA,51630
Galax,276,30,15,2020-07-05,Virginia,VA,51640
Hampton,376,41,5,2020-07-05,Virginia,VA,51650
Harrisonburg,966,72,27,2020-07-05,Virginia,VA,51660
Hopewell,188,19,2,2020-07-05,Virginia,VA,51670
Lexington,13,0,0,2020-07-05,Virginia,VA,51678
Lynchburg,164,6,1,2020-07-05,Virginia,VA,51680
Manassas City,1452,104,18,2020-07-05,Virginia,VA,51683
Manassas Park,445,46,6,2020-07-05,Virginia,VA,51685
Martinsville,87,12,1,2020-07-05,Virginia,VA,51690
Newport News,592,45,10,2020-07-05,Virginia,VA,51700
Norfolk,1105,115,12,2020-07-05,Virginia,VA,51710
Norton,4,2,0,2020-07-05,Virginia,VA,51720
Petersburg,290,45,5,2020-07-05,Virginia,VA,51730
Poquoson,19,2,0,2020-07-05,Virginia,VA,51735
Portsmouth,549,73,18,2020-07-05,Virginia,VA,51740
Radford,14,1,0,2020-07-05,Virginia,VA,51750
Richmond City,2288,228,29,2020-07-05,Virginia,VA,51760
Roanoke City,492,14,10,2020-07-05,Virginia,VA,51770
Salem,80,3,3,2020-07-05,Virginia,VA,51775
Staunton,80,7,0,2020-07-05,Virginia,VA,51790
Suffolk,457,63,38,2020-07-05,Virginia,VA,51800
Virginia Beach,1392,123,30,2020-07-05,Virginia,VA,51810
Waynesboro,94,7,0,2020-07-05,Virginia,VA,51820
Williamsburg,74,12,6,2020-07-05,Virginia,VA,51830
Winchester,334,24,3,2020-07-05,Virginia,VA,51840
Accomack,1044,72,14,2020-07-04,Virginia,VA,51001
Albemarle,460,34,9,2020-07-04,Virginia,VA,51003
Alleghany,35,5,2,2020-07-04,Virginia,VA,51005
Amelia,45,11,1,2020-07-04,Virginia,VA,51007
Amherst,37,3,0,2020-07-04,Virginia,VA,51009
Appomattox,43,2,0,2020-07-04,Virginia,VA,51011
Arlington,2533,421,131,2020-07-04,Virginia,VA,51013
Augusta,193,7,2,2020-07-04,Virginia,VA,51015
Bath,0,0,0,2020-07-04,Virginia,VA,51017
Bedford,137,2,3,2020-07-04,Virginia,VA,51019
Bland,2,0,0,2020-07-04,Virginia,VA,51021
Botetourt,134,12,4,2020-07-04,Virginia,VA,51023
Brunswick,112,15,1,2020-07-04,Virginia,VA,51025
Buchanan,33,0,0,2020-07-04,Virginia,VA,51027
Buckingham,566,20,4,2020-07-04,Virginia,VA,51029
Campbell,51,3,1,2020-07-04,Virginia,VA,51031
Caroline,129,15,4,2020-07-04,Virginia,VA,51033
Carroll,232,19,9,2020-07-04,Virginia,VA,51035
Charles City,41,14,3,2020-07-04,Virginia,VA,51036
Charlotte,33,4,0,2020-07-04,Virginia,VA,51037
Chesterfield,3015,128,53,2020-07-04,Virginia,VA,51041
Clarke,56,5,0,2020-07-04,Virginia,VA,51043
Craig,8,0,0,2020-07-04,Virginia,VA,51045
Culpeper,822,63,11,2020-07-04,Virginia,VA,51047
Cumberland,57,4,0,2020-07-04,Virginia,VA,51049
Dickenson,5,0,0,2020-07-04,Virginia,VA,51051
Dinwiddie,148,22,2,2020-07-04,Virginia,VA,51053
Essex,59,4,0,2020-07-04,Virginia,VA,51057
Fairfax,14153,1660,496,2020-07-04,Virginia,VA,51059
Fauquier,442,27,7,2020-07-04,Virginia,VA,51061
Floyd,20,2,1,2020-07-04,Virginia,VA,51063
Fluvanna,120,26,8,2020-07-04,Virginia,VA,51065
Franklin County,96,6,1,2020-07-04,Virginia,VA,51067
Frederick,521,42,6,2020-07-04,Virginia,VA,51069
Giles,18,1,0,2020-07-04,Virginia,VA,51071
Gloucester,50,9,1,2020-07-04,Virginia,VA,51073
Goochland,127,23,6,2020-07-04,Virginia,VA,51075
Grayson,89,6,2,2020-07-04,Virginia,VA,51077
Greene,73,7,1,2020-07-04,Virginia,VA,51079
Greensville,368,19,7,2020-07-04,Virginia,VA,51081
Halifax,63,4,1,2020-07-04,Virginia,VA,51083
Hanover,447,67,29,2020-07-04,Virginia,VA,51085
Henrico,2681,262,158,2020-07-04,Virginia,VA,51087
Henry,288,24,4,2020-07-04,Virginia,VA,51089
Highland,3,0,0,2020-07-04,Virginia,VA,51091
Isle of Wight,193,16,9,2020-07-04,Virginia,VA,51093
James City,293,58,15,2020-07-04,Virginia,VA,51095
King and Queen,24,4,1,2020-07-04,Virginia,VA,51097
King George,100,15,4,2020-07-04,Virginia,VA,51099
King William,44,5,0,2020-07-04,Virginia,VA,51101
Lancaster,11,1,0,2020-07-04,Virginia,VA,51103
Lee,15,1,0,2020-07-04,Virginia,VA,51105
Loudoun,4207,278,90,2020-07-04,Virginia,VA,51107
Louisa,130,15,1,2020-07-04,Virginia,VA,51109
Lunenburg,37,3,0,2020-07-04,Virginia,VA,51111
Madison,44,4,1,2020-07-04,Virginia,VA,51113
Mathews,6,2,0,2020-07-04,Virginia,VA,51115
Mecklenburg,248,31,28,2020-07-04,Virginia,VA,51117
Middlesex,15,1,0,2020-07-04,Virginia,VA,51119
Montgomery,158,11,2,2020-07-04,Virginia,VA,51121
Nelson,20,0,0,2020-07-04,Virginia,VA,51125
New Kent,60,7,1,2020-07-04,Virginia,VA,51127
Northampton,272,41,28,2020-07-04,Virginia,VA,51131
Northumberland,37,0,1,2020-07-04,Virginia,VA,51133
Nottoway,114,23,2,2020-07-04,Virginia,VA,51135
Orange,153,14,3,2020-07-04,Virginia,VA,51137
Page,283,29,23,2020-07-04,Virginia,VA,51139
Patrick,48,3,1,2020-07-04,Virginia,VA,51141
Pittsylvania,137,23,1,2020-07-04,Virginia,VA,51143
Powhatan,84,6,2,2020-07-04,Virginia,VA,51145
Prince Edward,213,24,6,2020-07-04,Virginia,VA,51147
Prince George,244,12,1,2020-07-04,Virginia,VA,51149
Prince William,7570,673,147,2020-07-04,Virginia,VA,51153
Pulaski,48,7,2,2020-07-04,Virginia,VA,51155
Rappahannock,23,1,0,2020-07-04,Virginia,VA,51157
Richmond County,299,12,4,2020-07-04,Virginia,VA,51159
Roanoke County,283,11,6,2020-07-04,Virginia,VA,51161
Rockbridge,33,0,0,2020-07-04,Virginia,VA,51163
Rockingham,746,79,11,2020-07-04,Virginia,VA,51165
Russell,14,2,0,2020-07-04,Virginia,VA,51167
Scott,11,2,2,2020-07-04,Virginia,VA,51169
Shenandoah,598,66,34,2020-07-04,Virginia,VA,51171
Smyth,42,5,1,2020-07-04,Virginia,VA,51173
Southampton,163,8,7,2020-07-04,Virginia,VA,51175
Spotsylvania,1036,77,31,2020-07-04,Virginia,VA,51177
Stafford,1011,95,5,2020-07-04,Virginia,VA,51179
Surry,17,4,1,2020-07-04,Virginia,VA,51181
Sussex,209,13,5,2020-07-04,Virginia,VA,51183
Tazewell,16,0,0,2020-07-04,Virginia,VA,51185
Warren,297,18,8,2020-07-04,Virginia,VA,51187
Washington,67,8,4,2020-07-04,Virginia,VA,51191
Westmoreland,116,12,2,2020-07-04,Virginia,VA,51193
Wise,30,12,2,2020-07-04,Virginia,VA,51195
Wythe,56,6,1,2020-07-04,Virginia,VA,51197
York,129,10,3,2020-07-04,Virginia,VA,51199
Alexandria,2376,239,57,2020-07-04,Virginia,VA,51510
Bristol,5,1,0,2020-07-04,Virginia,VA,51520
Buena Vista City,15,1,0,2020-07-04,Virginia,VA,51530
Charlottesville,237,17,6,2020-07-04,Virginia,VA,51540
Chesapeake,1015,147,21,2020-07-04,Virginia,VA,51550
Colonial Heights,148,15,18,2020-07-04,Virginia,VA,51570
Covington,5,0,0,2020-07-04,Virginia,VA,51580
Danville,99,20,2,2020-07-04,Virginia,VA,51590
Emporia,143,23,15,2020-07-04,Virginia,VA,51595
Fairfax City,71,6,7,2020-07-04,Virginia,VA,51600
Falls Church,55,11,8,2020-07-04,Virginia,VA,51610
Franklin City,54,4,2,2020-07-04,Virginia,VA,51620
Fredericksburg,255,26,0,2020-07-04,Virginia,VA,51630
Galax,272,30,15,2020-07-04,Virginia,VA,51640
Hampton,369,41,5,2020-07-04,Virginia,VA,51650
Harrisonburg,966,72,27,2020-07-04,Virginia,VA,51660
Hopewell,186,19,2,2020-07-04,Virginia,VA,51670
Lexington,13,0,0,2020-07-04,Virginia,VA,51678
Lynchburg,162,6,1,2020-07-04,Virginia,VA,51680
Manassas City,1451,104,18,2020-07-04,Virginia,VA,51683
Manassas Park,444,46,6,2020-07-04,Virginia,VA,51685
Martinsville,86,12,1,2020-07-04,Virginia,VA,51690
Newport News,584,45,10,2020-07-04,Virginia,VA,51700
Norfolk,1072,114,12,2020-07-04,Virginia,VA,51710
Norton,4,2,0,2020-07-04,Virginia,VA,51720
Petersburg,275,43,5,2020-07-04,Virginia,VA,51730
Poquoson,19,2,0,2020-07-04,Virginia,VA,51735
Portsmouth,549,73,18,2020-07-04,Virginia,VA,51740
Radford,14,1,0,2020-07-04,Virginia,VA,51750
Richmond City,2276,228,29,2020-07-04,Virginia,VA,51760
Roanoke City,479,14,10,2020-07-04,Virginia,VA,51770
Salem,78,3,3,2020-07-04,Virginia,VA,51775
Staunton,79,7,0,2020-07-04,Virginia,VA,51790
Suffolk,451,62,38,2020-07-04,Virginia,VA,51800
Virginia Beach,1350,123,30,2020-07-04,Virginia,VA,51810
Waynesboro,92,7,0,2020-07-04,Virginia,VA,51820
Williamsburg,72,12,6,2020-07-04,Virginia,VA,51830
Winchester,334,24,3,2020-07-04,Virginia,VA,51840
Accomack,1043,72,14,2020-07-03,Virginia,VA,51001
Albemarle,456,34,9,2020-07-03,Virginia,VA,51003
Alleghany,35,5,2,2020-07-03,Virginia,VA,51005
Amelia,45,11,1,2020-07-03,Virginia,VA,51007
Amherst,37,3,0,2020-07-03,Virginia,VA,51009
Appomattox,43,2,0,2020-07-03,Virginia,VA,51011
Arlington,2519,421,131,2020-07-03,Virginia,VA,51013
Augusta,192,7,2,2020-07-03,Virginia,VA,51015
Bath,0,0,0,2020-07-03,Virginia,VA,51017
Bedford,137,2,3,2020-07-03,Virginia,VA,51019
Bland,2,0,0,2020-07-03,Virginia,VA,51021
Botetourt,133,12,4,2020-07-03,Virginia,VA,51023
Brunswick,109,15,1,2020-07-03,Virginia,VA,51025
Buchanan,31,0,0,2020-07-03,Virginia,VA,51027
Buckingham,566,20,4,2020-07-03,Virginia,VA,51029
Campbell,51,3,1,2020-07-03,Virginia,VA,51031
Caroline,128,15,4,2020-07-03,Virginia,VA,51033
Carroll,227,19,9,2020-07-03,Virginia,VA,51035
Charles City,40,14,3,2020-07-03,Virginia,VA,51036
Charlotte,33,4,0,2020-07-03,Virginia,VA,51037
Chesterfield,2972,128,53,2020-07-03,Virginia,VA,51041
Clarke,55,5,0,2020-07-03,Virginia,VA,51043
Craig,8,0,0,2020-07-03,Virginia,VA,51045
Culpeper,817,63,11,2020-07-03,Virginia,VA,51047
Cumberland,57,4,0,2020-07-03,Virginia,VA,51049
Dickenson,5,0,0,2020-07-03,Virginia,VA,51051
Dinwiddie,148,22,2,2020-07-03,Virginia,VA,51053
Essex,59,4,0,2020-07-03,Virginia,VA,51057
Fairfax,14072,1657,495,2020-07-03,Virginia,VA,51059
Fauquier,431,27,7,2020-07-03,Virginia,VA,51061
Floyd,20,2,1,2020-07-03,Virginia,VA,51063
Fluvanna,120,26,8,2020-07-03,Virginia,VA,51065
Franklin County,92,6,1,2020-07-03,Virginia,VA,51067
Frederick,518,42,6,2020-07-03,Virginia,VA,51069
Giles,18,1,0,2020-07-03,Virginia,VA,51071
Gloucester,49,9,1,2020-07-03,Virginia,VA,51073
Goochland,126,23,6,2020-07-03,Virginia,VA,51075
Grayson,88,6,2,2020-07-03,Virginia,VA,51077
Greene,72,7,1,2020-07-03,Virginia,VA,51079
Greensville,368,19,7,2020-07-03,Virginia,VA,51081
Halifax,63,4,1,2020-07-03,Virginia,VA,51083
Hanover,443,67,29,2020-07-03,Virginia,VA,51085
Henrico,2663,261,158,2020-07-03,Virginia,VA,51087
Henry,284,24,4,2020-07-03,Virginia,VA,51089
Highland,3,0,0,2020-07-03,Virginia,VA,51091
Isle of Wight,190,16,9,2020-07-03,Virginia,VA,51093
James City,279,58,15,2020-07-03,Virginia,VA,51095
King and Queen,24,4,1,2020-07-03,Virginia,VA,51097
King George,100,15,4,2020-07-03,Virginia,VA,51099
King William,43,5,0,2020-07-03,Virginia,VA,51101
Lancaster,11,1,0,2020-07-03,Virginia,VA,51103
Lee,12,1,0,2020-07-03,Virginia,VA,51105
Loudoun,4175,279,91,2020-07-03,Virginia,VA,51107
Louisa,127,15,1,2020-07-03,Virginia,VA,51109
Lunenburg,37,3,0,2020-07-03,Virginia,VA,51111
Madison,43,4,1,2020-07-03,Virginia,VA,51113
Mathews,6,2,0,2020-07-03,Virginia,VA,51115
Mecklenburg,248,31,28,2020-07-03,Virginia,VA,51117
Middlesex,15,1,0,2020-07-03,Virginia,VA,51119
Montgomery,155,11,2,2020-07-03,Virginia,VA,51121
Nelson,20,0,0,2020-07-03,Virginia,VA,51125
New Kent,60,7,1,2020-07-03,Virginia,VA,51127
Northampton,271,41,28,2020-07-03,Virginia,VA,51131
Northumberland,36,0,1,2020-07-03,Virginia,VA,51133
Nottoway,114,23,2,2020-07-03,Virginia,VA,51135
Orange,153,14,3,2020-07-03,Virginia,VA,51137
Page,281,29,23,2020-07-03,Virginia,VA,51139
Patrick,48,3,1,2020-07-03,Virginia,VA,51141
Pittsylvania,134,23,1,2020-07-03,Virginia,VA,51143
Powhatan,84,6,2,2020-07-03,Virginia,VA,51145
Prince Edward,213,24,6,2020-07-03,Virginia,VA,51147
Prince George,244,12,1,2020-07-03,Virginia,VA,51149
