Report Date,FIPS,Locality,VDH Health District,Total Cases,Hospitalizations,Deaths
4/28/2020,51001,Accomack,Eastern Shore,223,18,4
4/28/2020,51003,Albemarle,Thomas Jefferson,80,16,4
4/28/2020,51005,Alleghany,Alleghany,5,4,0
4/28/2020,51007,Amelia,Piedmont,15,6,1
4/28/2020,51009,Amherst,Central Virginia,9,1,0
4/28/2020,51011,Appomattox,Central Virginia,17,0,0
4/28/2020,51013,Arlington,Arlington,865,157,32
4/28/2020,51015,Augusta,Central Shenandoah,39,2,1
4/28/2020,51017,Bath,Central Shenandoah,0,0,0
4/28/2020,51019,Bedford,Central Virginia,25,1,0
4/28/2020,51021,Bland,Mount Rogers,0,0,0
4/28/2020,51023,Botetourt,Alleghany,27,9,3
4/28/2020,51025,Brunswick,Southside,13,3,0
4/28/2020,51027,Buchanan,Cumberland Plateau,16,0,0
4/28/2020,51029,Buckingham,Piedmont,55,7,0
4/28/2020,51031,Campbell,Central Virginia,11,0,0
4/28/2020,51033,Caroline,Rappahannock,22,4,0
4/28/2020,51035,Carroll,Mount Rogers,4,1,0
4/28/2020,51036,Charles City,Chickahominy,13,5,1
4/28/2020,51037,Charlotte,Piedmont,7,1,0
4/28/2020,51041,Chesterfield,Chesterfield,488,40,19
4/28/2020,51043,Clarke,Lord Fairfax,7,1,0
4/28/2020,51045,Craig,Alleghany,2,0,0
4/28/2020,51047,Culpeper,Rappahannock Rapidan,126,10,2
4/28/2020,51049,Cumberland,Piedmont,11,1,0
4/28/2020,51051,Dickenson,Cumberland Plateau,0,0,0
4/28/2020,51053,Dinwiddie,Crater,15,6,0
4/28/2020,51057,Essex,Three Rivers,6,1,0
4/28/2020,51059,Fairfax,Fairfax,3278,555,114
4/28/2020,51061,Fauquier,Rappahannock Rapidan,105,10,2
4/28/2020,51063,Floyd,New River,1,0,0
4/28/2020,51065,Fluvanna,Thomas Jefferson,73,19,5
4/28/2020,51067,Franklin County,West Piedmont,20,3,0
4/28/2020,51069,Frederick,Lord Fairfax,97,11,1
4/28/2020,51071,Giles,New River,4,0,0
4/28/2020,51073,Gloucester,Three Rivers,22,5,1
4/28/2020,51075,Goochland,Chickahominy,74,9,3
4/28/2020,51077,Grayson,Mount Rogers,1,0,0
4/28/2020,51079,Greene,Thomas Jefferson,9,2,1
4/28/2020,51081,Greensville,Crater,36,9,6
4/28/2020,51083,Halifax,Southside,17,1,0
4/28/2020,51085,Hanover,Chickahominy,109,28,9
4/28/2020,51087,Henrico,Henrico,835,120,95
