County,Cases,Hospitalizations,Deaths,Date,State,Abbr,FIPS,Recovered,Tests
Montgomery,6316,NA,355,2020-05-07,Maryland,MD,24031,NA,NA
Prince Georges,8901,NA,339,2020-05-07,Maryland,MD,24033,NA,NA
Jefferson,87,NA,1,2020-05-07,West Virginia,WV,54037,NA,NA
District of Columbia,5899,NA,304,2020-05-07,District of Columbia,DC,11001,NA,NA
Arlington,1248,222,52,2020-05-06,Virginia,VA,51013,NA,NA
Clarke,16,2,0,2020-05-06,Virginia,VA,51043,NA,NA
Culpeper,217,18,4,2020-05-06,Virginia,VA,51047,NA,NA
Fairfax,5045,832,211,2020-05-06,Virginia,VA,51059,NA,NA
Fauquier,149,13,4,2020-05-06,Virginia,VA,51061,NA,NA
Loudoun,1043,105,26,2020-05-06,Virginia,VA,51107,NA,NA
Prince William,2398,247,39,2020-05-06,Virginia,VA,51153,NA,NA
Rappahannock,7,0,0,2020-05-06,Virginia,VA,51157,NA,NA
Spotsylvania,230,27,4,2020-05-06,Virginia,VA,51177,NA,NA
Stafford,334,52,2,2020-05-06,Virginia,VA,51179,NA,NA
Warren,75,7,0,2020-05-06,Virginia,VA,51187,NA,NA
Alexandria City,1060,127,29,2020-05-06,Virginia,VA,51510,NA,NA
Fairfax City,35,6,3,2020-05-06,Virginia,VA,51600,NA,NA
Falls Church,36,8,4,2020-05-06,Virginia,VA,51610,NA,NA
Fredericksburg,52,10,0,2020-05-06,Virginia,VA,51630,NA,NA
Manassas,332,38,1,2020-05-06,Virginia,VA,51683,NA,NA
Manassas Park,106,12,2,2020-05-06,Virginia,VA,51685,NA,NA
Calvert,188,NA,11,2020-05-06,Maryland,MD,24009,NA,NA
Charles,698,NA,51,2020-05-06,Maryland,MD,24017,NA,NA
Frederick,1151,NA,70,2020-05-06,Maryland,MD,24021,NA,NA
Montgomery,6032,NA,345,2020-05-06,Maryland,MD,24031,NA,NA
Prince Georges,8516,NA,324,2020-05-06,Maryland,MD,24033,NA,NA
Jefferson,85,NA,1,2020-05-06,West Virginia,WV,54037,NA,NA
District of Columbia,5654,NA,285,2020-05-06,District of Columbia,DC,11001,NA,NA
Arlington,1200,216,51,2020-05-05,Virginia,VA,51013,NA,NA
Clarke,15,1,0,2020-05-05,Virginia,VA,51043,NA,NA
Culpeper,209,18,3,2020-05-05,Virginia,VA,51047,NA,NA
Fairfax,5016,824,206,2020-05-05,Virginia,VA,51059,NA,NA
Fauquier,148,12,4,2020-05-05,Virginia,VA,51061,NA,NA
Loudoun,1025,102,25,2020-05-05,Virginia,VA,51107,NA,NA
Prince William,2304,241,37,2020-05-05,Virginia,VA,51153,NA,NA
Rappahannock,6,0,0,2020-05-05,Virginia,VA,51157,NA,NA
Spotsylvania,223,25,4,2020-05-05,Virginia,VA,51177,NA,NA
Stafford,321,49,2,2020-05-05,Virginia,VA,51179,NA,NA
Warren,71,6,0,2020-05-05,Virginia,VA,51187,NA,NA
Alexandria City,1022,126,27,2020-05-05,Virginia,VA,51510,NA,NA
Fairfax City,34,6,2,2020-05-05,Virginia,VA,51600,NA,NA
Falls Church,36,8,4,2020-05-05,Virginia,VA,51610,NA,NA
Fredericksburg,48,10,0,2020-05-05,Virginia,VA,51630,NA,NA
Manassas,310,34,1,2020-05-05,Virginia,VA,51683,NA,NA
Manassas Park,101,12,2,2020-05-05,Virginia,VA,51685,NA,NA
Calvert,184,NA,11,2020-05-05,Maryland,MD,24009,NA,NA
Charles,670,NA,52,2020-05-05,Maryland,MD,24017,NA,NA
Frederick,1108,NA,68,2020-05-05,Maryland,MD,24021,NA,NA
Montgomery,5790,NA,333,2020-05-05,Maryland,MD,24031,NA,NA
Prince Georges,8135,NA,311,2020-05-05,Maryland,MD,24033,NA,NA
Jefferson,84,NA,1,2020-05-05,West Virginia,WV,54037,NA,NA
District of Columbia,5461,NA,277,2020-05-05,District of Columbia,DC,11001,NA,NA
Arlington,1169,196,49,2020-05-04,Virginia,VA,51013,NA,NA
Clarke,12,1,0,2020-05-04,Virginia,VA,51043,NA,NA
Culpeper,201,18,3,2020-05-04,Virginia,VA,51047,NA,NA
Fairfax,4834,787,201,2020-05-04,Virginia,VA,51059,NA,NA
Fauquier,147,11,3,2020-05-04,Virginia,VA,51061,NA,NA
Loudoun,998,100,24,2020-05-04,Virginia,VA,51107,NA,NA
Prince William,2223,225,33,2020-05-04,Virginia,VA,51153,NA,NA
Rappahannock,6,0,0,2020-05-04,Virginia,VA,51157,NA,NA
Spotsylvania,206,24,4,2020-05-04,Virginia,VA,51177,NA,NA
Stafford,308,49,2,2020-05-04,Virginia,VA,51179,NA,NA
Warren,68,4,0,2020-05-04,Virginia,VA,51187,NA,NA
Alexandria City,983,120,26,2020-05-04,Virginia,VA,51510,NA,NA
Fairfax City,33,5,2,2020-05-04,Virginia,VA,51600,NA,NA
Falls Church,36,8,4,2020-05-04,Virginia,VA,51610,NA,NA
Fredericksburg,45,8,0,2020-05-04,Virginia,VA,51630,NA,NA
Manassas,289,33,1,2020-05-04,Virginia,VA,51683,NA,NA
Manassas Park,96,11,2,2020-05-04,Virginia,VA,51685,NA,NA
Calvert,174,NA,11,2020-05-04,Maryland,MD,24009,NA,NA
Charles,660,NA,50,2020-05-04,Maryland,MD,24017,NA,NA
Frederick,1071,NA,66,2020-05-04,Maryland,MD,24021,NA,NA
Montgomery,5541,NA,320,2020-05-04,Maryland,MD,24031,NA,NA
Prince Georges,7831,NA,295,2020-05-04,Maryland,MD,24033,NA,NA
Jefferson,83,NA,1,2020-05-04,West Virginia,WV,54037,NA,NA
District of Columbia,5322,NA,264,2020-05-04,District of Columbia,DC,11001,NA,NA
Arlington,1139,194,47,2020-05-03,Virginia,VA,51013,NA,NA
Clarke,10,1,0,2020-05-03,Virginia,VA,51043,NA,NA
Culpeper,196,16,3,2020-05-03,Virginia,VA,51047,NA,NA
Fairfax,4615,771,198,2020-05-03,Virginia,VA,51059,NA,NA
Fauquier,140,11,3,2020-05-03,Virginia,VA,51061,NA,NA
Loudoun,961,96,18,2020-05-03,Virginia,VA,51107,NA,NA
Prince William,2146,222,32,2020-05-03,Virginia,VA,51153,NA,NA
Rappahannock,6,0,0,2020-05-03,Virginia,VA,51157,NA,NA
Spotsylvania,195,23,4,2020-05-03,Virginia,VA,51177,NA,NA
Stafford,288,47,2,2020-05-03,Virginia,VA,51179,NA,NA
Warren,63,4,0,2020-05-03,Virginia,VA,51187,NA,NA
Alexandria City,940,110,26,2020-05-03,Virginia,VA,51510,NA,NA
Fairfax City,33,5,2,2020-05-03,Virginia,VA,51600,NA,NA
Falls Church,36,8,4,2020-05-03,Virginia,VA,51610,NA,NA
Fredericksburg,45,8,0,2020-05-03,Virginia,VA,51630,NA,NA
Manassas,273,33,1,2020-05-03,Virginia,VA,51683,NA,NA
Manassas Park,88,11,2,2020-05-03,Virginia,VA,51685,NA,NA
Calvert,171,NA,11,2020-05-03,Maryland,MD,24009,NA,NA
Charles,651,NA,50,2020-05-03,Maryland,MD,24017,NA,NA
Frederick,1038,NA,62,2020-05-03,Maryland,MD,24021,NA,NA
Montgomery,5384,NA,301,2020-05-03,Maryland,MD,24031,NA,NA
Prince Georges,7598,NA,284,2020-05-03,Maryland,MD,24033,NA,NA
Jefferson,82,NA,1,2020-05-03,West Virginia,WV,54037,NA,NA
District of Columbia,5170,NA,258,2020-05-03,District of Columbia,DC,11001,NA,NA
Arlington,1106,194,46,2020-05-02,Virginia,VA,51013,NA,NA
Clarke,10,1,0,2020-05-02,Virginia,VA,51043,NA,NA
Culpeper,191,16,3,2020-05-02,Virginia,VA,51047,NA,NA
Fairfax,4340,739,184,2020-05-02,Virginia,VA,51059,NA,NA
Fauquier,133,10,2,2020-05-02,Virginia,VA,51061,NA,NA
Loudoun,931,95,16,2020-05-02,Virginia,VA,51107,NA,NA
Prince William,2026,199,30,2020-05-02,Virginia,VA,51153,NA,NA
Rappahannock,6,0,0,2020-05-02,Virginia,VA,51157,NA,NA
Spotsylvania,186,23,4,2020-05-02,Virginia,VA,51177,NA,NA
Stafford,271,47,2,2020-05-02,Virginia,VA,51179,NA,NA
Warren,61,4,0,2020-05-02,Virginia,VA,51187,NA,NA
Alexandria City,899,109,26,2020-05-02,Virginia,VA,51510,NA,NA
Fairfax City,32,5,2,2020-05-02,Virginia,VA,51600,NA,NA
Falls Church,35,6,3,2020-05-02,Virginia,VA,51610,NA,NA
Fredericksburg,39,8,0,2020-05-02,Virginia,VA,51630,NA,NA
Manassas,266,31,1,2020-05-02,Virginia,VA,51683,NA,NA
Manassas Park,82,11,1,2020-05-02,Virginia,VA,51685,NA,NA
Calvert,162,NA,11,2020-05-02,Maryland,MD,24009,NA,NA
Charles,637,NA,50,2020-05-02,Maryland,MD,24017,NA,NA
Frederick,1004,NA,61,2020-05-02,Maryland,MD,24021,NA,NA
Montgomery,5150,NA,295,2020-05-02,Maryland,MD,24031,NA,NA
Prince Georges,7333,NA,277,2020-05-02,Maryland,MD,24033,NA,NA
Jefferson,81,NA,1,2020-05-02,West Virginia,WV,54037,NA,NA
District of Columbia,5016,NA,251,2020-05-02,District of Columbia,DC,11001,NA,NA
Arlington,1044,191,46,2020-05-01,Virginia,VA,51013,NA,NA
Clarke,10,1,0,2020-05-01,Virginia,VA,51043,NA,NA
Culpeper,177,14,3,2020-05-01,Virginia,VA,51047,NA,NA
Fairfax,4046,686,153,2020-05-01,Virginia,VA,51059,NA,NA
Fauquier,128,10,2,2020-05-01,Virginia,VA,51061,NA,NA
Loudoun,881,95,16,2020-05-01,Virginia,VA,51107,NA,NA
Prince William,1900,180,29,2020-05-01,Virginia,VA,51153,NA,NA
Rappahannock,6,0,0,2020-05-01,Virginia,VA,51157,NA,NA
Spotsylvania,174,23,4,2020-05-01,Virginia,VA,51177,NA,NA
Stafford,262,47,2,2020-05-01,Virginia,VA,51179,NA,NA
Warren,61,4,0,2020-05-01,Virginia,VA,51187,NA,NA
Alexandria City,848,108,26,2020-05-01,Virginia,VA,51510,NA,NA
Fairfax City,29,4,2,2020-05-01,Virginia,VA,51600,NA,NA
Falls Church,26,3,2,2020-05-01,Virginia,VA,51610,NA,NA
Fredericksburg,37,8,0,2020-05-01,Virginia,VA,51630,NA,NA
Manassas,258,30,2,2020-05-01,Virginia,VA,51683,NA,NA
Manassas Park,76,9,1,2020-05-01,Virginia,VA,51685,NA,NA
Calvert,160,NA,11,2020-05-01,Maryland,MD,24009,NA,NA
Charles,622,NA,47,2020-05-01,Maryland,MD,24017,NA,NA
Frederick,976,NA,59,2020-05-01,Maryland,MD,24021,NA,NA
Montgomery,4919,NA,282,2020-05-01,Maryland,MD,24031,NA,NA
Prince Georges,7041,NA,269,2020-05-01,Maryland,MD,24033,NA,NA
Jefferson,79,NA,1,2020-05-01,West Virginia,WV,54037,NA,NA
District of Columbia,4797,NA,240,2020-05-01,District of Columbia,DC,11001,NA,NA
Arlington,1004,169,42,2020-04-30,Virginia,VA,51013,NA,NA
Clarke,9,1,0,2020-04-30,Virginia,VA,51043,NA,NA
Culpeper,162,12,3,2020-04-30,Virginia,VA,51047,NA,NA
Fairfax,3897,643,137,2020-04-30,Virginia,VA,51059,NA,NA
Fauquier,128,10,2,2020-04-30,Virginia,VA,51061,NA,NA
Loudoun,832,93,15,2020-04-30,Virginia,VA,51107,NA,NA
Prince William,1781,174,28,2020-04-30,Virginia,VA,51153,NA,NA
Rappahannock,5,0,0,2020-04-30,Virginia,VA,51157,NA,NA
Spotsylvania,155,23,4,2020-04-30,Virginia,VA,51177,NA,NA
Stafford,251,44,2,2020-04-30,Virginia,VA,51179,NA,NA
Warren,57,4,0,2020-04-30,Virginia,VA,51187,NA,NA
Alexandria City,802,104,24,2020-04-30,Virginia,VA,51510,NA,NA
Fairfax City,29,4,2,2020-04-30,Virginia,VA,51600,NA,NA
Falls Church,26,3,2,2020-04-30,Virginia,VA,51610,NA,NA
Fredericksburg,34,7,0,2020-04-30,Virginia,VA,51630,NA,NA
Manassas,222,29,2,2020-04-30,Virginia,VA,51683,NA,NA
Manassas Park,68,9,1,2020-04-30,Virginia,VA,51685,NA,NA
Calvert,161,NA,9,2020-04-30,Maryland,MD,24009,NA,NA
Charles,611,NA,46,2020-04-30,Maryland,MD,24017,NA,NA
Frederick,942,NA,56,2020-04-30,Maryland,MD,24021,NA,NA
Montgomery,4754,NA,262,2020-04-30,Maryland,MD,24031,NA,NA
Prince Georges,6735,NA,243,2020-04-30,Maryland,MD,24033,NA,NA
Jefferson,79,NA,1,2020-04-30,West Virginia,WV,54037,NA,NA
District of Columbia,4658,NA,231,2020-04-30,District of Columbia,DC,11001,NA,NA
Arlington,967,167,41,2020-04-29,Virginia,VA,51013,NA,NA
Clarke,8,1,0,2020-04-29,Virginia,VA,51043,NA,NA
Culpeper,141,11,3,2020-04-29,Virginia,VA,51047,NA,NA
Fairfax,3611,606,134,2020-04-29,Virginia,VA,51059,NA,NA
Fauquier,111,10,2,2020-04-29,Virginia,VA,51061,NA,NA
Loudoun,746,90,15,2020-04-29,Virginia,VA,51107,NA,NA
Prince William,1645,169,24,2020-04-29,Virginia,VA,51153,NA,NA
Rappahannock,5,0,0,2020-04-29,Virginia,VA,51157,NA,NA
Spotsylvania,143,23,3,2020-04-29,Virginia,VA,51177,NA,NA
Stafford,240,44,2,2020-04-29,Virginia,VA,51179,NA,NA
Warren,52,4,0,2020-04-29,Virginia,VA,51187,NA,NA
Alexandria City,754,97,21,2020-04-29,Virginia,VA,51510,NA,NA
Fairfax City,27,4,2,2020-04-29,Virginia,VA,51600,NA,NA
Falls Church,26,3,2,2020-04-29,Virginia,VA,51610,NA,NA
Fredericksburg,33,7,0,2020-04-29,Virginia,VA,51630,NA,NA
Manassas,216,28,2,2020-04-29,Virginia,VA,51683,NA,NA
Manassas Park,61,8,1,2020-04-29,Virginia,VA,51685,NA,NA
Calvert,150,NA,8,2020-04-29,Maryland,MD,24009,NA,NA
Charles,564,NA,44,2020-04-29,Maryland,MD,24017,NA,NA
Frederick,918,NA,56,2020-04-29,Maryland,MD,24021,NA,NA
Montgomery,4300,NA,255,2020-04-29,Maryland,MD,24031,NA,NA
Prince Georges,6043,NA,240,2020-04-29,Maryland,MD,24033,NA,NA
Jefferson,77,NA,1,2020-04-29,West Virginia,WV,54037,NA,NA
District of Columbia,4323,NA,224,2020-04-29,District of Columbia,DC,11001,NA,NA
Arlington,912,163,32,2020-04-28,Virginia,VA,51013,NA,NA
Clarke,8,1,0,2020-04-28,Virginia,VA,51043,NA,NA
Culpeper,129,11,3,2020-04-28,Virginia,VA,51047,NA,NA
Fairfax,3448,585,124,2020-04-28,Virginia,VA,51059,NA,NA
Fauquier,109,10,2,2020-04-28,Virginia,VA,51061,NA,NA
Loudoun,727,87,14,2020-04-28,Virginia,VA,51107,NA,NA
Prince William,1527,159,22,2020-04-28,Virginia,VA,51153,NA,NA
Rappahannock,3,0,0,2020-04-28,Virginia,VA,51157,NA,NA
Spotsylvania,131,23,3,2020-04-28,Virginia,VA,51177,NA,NA
Stafford,225,44,2,2020-04-28,Virginia,VA,51179,NA,NA
Warren,51,3,0,2020-04-28,Virginia,VA,51187,NA,NA
Alexandria City,700,92,21,2020-04-28,Virginia,VA,51510,NA,NA
Fairfax City,27,4,2,2020-04-28,Virginia,VA,51600,NA,NA
Falls Church,26,3,2,2020-04-28,Virginia,VA,51610,NA,NA
Fredericksburg,28,7,0,2020-04-28,Virginia,VA,51630,NA,NA
Manassas,196,28,2,2020-04-28,Virginia,VA,51683,NA,NA
Manassas Park,60,8,1,2020-04-28,Virginia,VA,51685,NA,NA
Calvert,142,NA,8,2020-04-28,Maryland,MD,24009,NA,NA
Charles,551,NA,42,2020-04-28,Maryland,MD,24017,NA,NA
Frederick,893,NA,51,2020-04-28,Maryland,MD,24021,NA,NA
Montgomery,4152,NA,242,2020-04-28,Maryland,MD,24031,NA,NA
Prince Georges,5738,NA,224,2020-04-28,Maryland,MD,24033,NA,NA
Jefferson,77,NA,1,2020-04-28,West Virginia,WV,54037,NA,NA
District of Columbia,4106,NA,205,2020-04-28,District of Columbia,DC,11001,NA,NA
Arlington,865,157,32,2020-04-27,Virginia,VA,51013,NA,NA
Clarke,7,1,0,2020-04-27,Virginia,VA,51043,NA,NA
Culpeper,126,10,2,2020-04-27,Virginia,VA,51047,NA,NA
Fairfax,3278,555,114,2020-04-27,Virginia,VA,51059,NA,NA
Fauquier,105,10,2,2020-04-27,Virginia,VA,51061,NA,NA
Loudoun,688,84,12,2020-04-27,Virginia,VA,51107,NA,NA
Prince William,1449,147,20,2020-04-27,Virginia,VA,51153,NA,NA
Rappahannock,3,0,0,2020-04-27,Virginia,VA,51157,NA,NA
Spotsylvania,126,23,3,2020-04-27,Virginia,VA,51177,NA,NA
Stafford,221,43,2,2020-04-27,Virginia,VA,51179,NA,NA
Warren,47,3,0,2020-04-27,Virginia,VA,51187,NA,NA
Alexandria City,653,82,20,2020-04-27,Virginia,VA,51510,NA,NA
Fairfax City,27,4,2,2020-04-27,Virginia,VA,51600,NA,NA
Falls Church,26,3,2,2020-04-27,Virginia,VA,51610,NA,NA
Fredericksburg,27,6,0,2020-04-27,Virginia,VA,51630,NA,NA
Manassas,175,28,2,2020-04-27,Virginia,VA,51683,NA,NA
Manassas Park,53,8,1,2020-04-27,Virginia,VA,51685,NA,NA
Calvert,139,NA,8,2020-04-27,Maryland,MD,24009,NA,NA
Charles,539,NA,39,2020-04-27,Maryland,MD,24017,NA,NA
Frederick,870,NA,48,2020-04-27,Maryland,MD,24021,NA,NA
Montgomery,4003,NA,221,2020-04-27,Maryland,MD,24031,NA,NA
Prince Georges,5496,NA,206,2020-04-27,Maryland,MD,24033,NA,NA
Jefferson,75,NA,0,2020-04-27,West Virginia,WV,54037,NA,NA
District of Columbia,3994,NA,190,2020-04-27,District of Columbia,DC,11001,NA,NA
Arlington,836,144,32,2020-04-26,Virginia,VA,51013,NA,NA
Clarke,7,1,0,2020-04-26,Virginia,VA,51043,NA,NA
Culpeper,113,10,2,2020-04-26,Virginia,VA,51047,NA,NA
Fairfax,3002,522,100,2020-04-26,Virginia,VA,51059,NA,NA
Fauquier,96,8,2,2020-04-26,Virginia,VA,51061,NA,NA
Loudoun,628,78,12,2020-04-26,Virginia,VA,51107,NA,NA
Prince William,1353,137,20,2020-04-26,Virginia,VA,51153,NA,NA
Rappahannock,1,0,0,2020-04-26,Virginia,VA,51157,NA,NA
Spotsylvania,119,23,3,2020-04-26,Virginia,VA,51177,NA,NA
Stafford,218,42,2,2020-04-26,Virginia,VA,51179,NA,NA
Warren,44,3,0,2020-04-26,Virginia,VA,51187,NA,NA
Alexandria City,627,79,18,2020-04-26,Virginia,VA,51510,NA,NA
Fairfax City,27,4,2,2020-04-26,Virginia,VA,51600,NA,NA
Falls Church,26,3,2,2020-04-26,Virginia,VA,51610,NA,NA
Fredericksburg,24,6,0,2020-04-26,Virginia,VA,51630,NA,NA
Manassas,165,26,2,2020-04-26,Virginia,VA,51683,NA,NA
Manassas Park,50,8,1,2020-04-26,Virginia,VA,51685,NA,NA
Calvert,138,NA,7,2020-04-26,Maryland,MD,24009,NA,NA
Charles,529,NA,37,2020-04-26,Maryland,MD,24017,NA,NA
Frederick,865,NA,48,2020-04-26,Maryland,MD,24021,NA,NA
Montgomery,3843,NA,210,2020-04-26,Maryland,MD,24031,NA,NA
Prince Georges,5263,NA,198,2020-04-26,Maryland,MD,24033,NA,NA
Jefferson,75,NA,0,2020-04-26,West Virginia,WV,54037,NA,NA
District of Columbia,3892,NA,185,2020-04-26,District of Columbia,DC,11001,NA,NA
Arlington,790,141,32,2020-04-25,Virginia,VA,51013,NA,NA
Clarke,7,1,0,2020-04-25,Virginia,VA,51043,NA,NA
Culpeper,103,10,1,2020-04-25,Virginia,VA,51047,NA,NA
Fairfax,2889,509,95,2020-04-25,Virginia,VA,51059,NA,NA
Fauquier,87,7,2,2020-04-25,Virginia,VA,51061,NA,NA
Loudoun,596,76,11,2020-04-25,Virginia,VA,51107,NA,NA
Prince William,1265,124,19,2020-04-25,Virginia,VA,51153,NA,NA
Rappahannock,2,0,0,2020-04-25,Virginia,VA,51157,NA,NA
Spotsylvania,107,23,3,2020-04-25,Virginia,VA,51177,NA,NA
Stafford,213,42,2,2020-04-25,Virginia,VA,51179,NA,NA
Warren,43,3,0,2020-04-25,Virginia,VA,51187,NA,NA
Alexandria City,591,80,19,2020-04-25,Virginia,VA,51510,NA,NA
Fairfax City,26,4,2,2020-04-25,Virginia,VA,51600,NA,NA
Falls Church,26,3,2,2020-04-25,Virginia,VA,51610,NA,NA
Fredericksburg,23,6,0,2020-04-25,Virginia,VA,51630,NA,NA
Manassas,158,25,2,2020-04-25,Virginia,VA,51683,NA,NA
Manassas Park,45,6,1,2020-04-25,Virginia,VA,51685,NA,NA
Calvert,134,NA,7,2020-04-25,Maryland,MD,24009,NA,NA
Charles,504,NA,35,2020-04-25,Maryland,MD,24017,NA,NA
Frederick,834,NA,45,2020-04-25,Maryland,MD,24021,NA,NA
Montgomery,3645,NA,180,2020-04-25,Maryland,MD,24031,NA,NA
Prince Georges,4987,NA,174,2020-04-25,Maryland,MD,24033,NA,NA
Jefferson,71,NA,0,2020-04-25,West Virginia,WV,54037,NA,NA
District of Columbia,3841,NA,178,2020-04-25,District of Columbia,DC,11001,NA,NA
Arlington,764,139,29,2020-04-24,Virginia,VA,51013,NA,NA
Clarke,7,1,0,2020-04-24,Virginia,VA,51043,NA,NA
Culpeper,95,10,1,2020-04-24,Virginia,VA,51047,NA,NA
Fairfax,2745,481,90,2020-04-24,Virginia,VA,51059,NA,NA
Fauquier,80,7,2,2020-04-24,Virginia,VA,51061,NA,NA
Loudoun,564,72,11,2020-04-24,Virginia,VA,51107,NA,NA
Prince William,1184,120,19,2020-04-24,Virginia,VA,51153,NA,NA
Rappahannock,2,0,0,2020-04-24,Virginia,VA,51157,NA,NA
Spotsylvania,101,21,3,2020-04-24,Virginia,VA,51177,NA,NA
Stafford,198,39,2,2020-04-24,Virginia,VA,51179,NA,NA
Warren,42,3,0,2020-04-24,Virginia,VA,51187,NA,NA
Alexandria City,575,80,18,2020-04-24,Virginia,VA,51510,NA,NA
Fairfax City,26,4,2,2020-04-24,Virginia,VA,51600,NA,NA
Falls Church,26,3,2,2020-04-24,Virginia,VA,51610,NA,NA
Fredericksburg,23,3,0,2020-04-24,Virginia,VA,51630,NA,NA
Manassas,154,24,1,2020-04-24,Virginia,VA,51683,NA,NA
Manassas Park,44,6,1,2020-04-24,Virginia,VA,51685,NA,NA
Calvert,130,NA,7,2020-04-24,Maryland,MD,24009,NA,NA
Charles,483,NA,35,2020-04-24,Maryland,MD,24017,NA,NA
Frederick,814,NA,45,2020-04-24,Maryland,MD,24021,NA,NA
Montgomery,3483,NA,171,2020-04-24,Maryland,MD,24031,NA,NA
Prince Georges,4795,NA,173,2020-04-24,Maryland,MD,24033,NA,NA
Jefferson,71,NA,0,2020-04-24,West Virginia,WV,54037,NA,NA
District of Columbia,3699,NA,165,2020-04-24,District of Columbia,DC,11001,NA,NA
Arlington,722,120,24,2020-04-23,Virginia,VA,51013,NA,NA
Clarke,7,1,0,2020-04-23,Virginia,VA,51043,NA,NA
Culpeper,90,10,1,2020-04-23,Virginia,VA,51047,NA,NA
Fairfax,2534,455,85,2020-04-23,Virginia,VA,51059,NA,NA
Fauquier,73,7,2,2020-04-23,Virginia,VA,51061,NA,NA
Loudoun,529,67,10,2020-04-23,Virginia,VA,51107,NA,NA
Prince William,1110,112,18,2020-04-23,Virginia,VA,51153,NA,NA
Rappahannock,1,0,0,2020-04-23,Virginia,VA,51157,NA,NA
Spotsylvania,97,20,3,2020-04-23,Virginia,VA,51177,NA,NA
Stafford,193,38,2,2020-04-23,Virginia,VA,51179,NA,NA
Warren,36,3,0,2020-04-23,Virginia,VA,51187,NA,NA
Alexandria City,547,81,15,2020-04-23,Virginia,VA,51510,NA,NA
Fairfax City,26,3,2,2020-04-23,Virginia,VA,51600,NA,NA
Falls Church,24,2,2,2020-04-23,Virginia,VA,51610,NA,NA
Fredericksburg,21,3,0,2020-04-23,Virginia,VA,51630,NA,NA
Manassas,137,20,1,2020-04-23,Virginia,VA,51683,NA,NA
Manassas Park,44,6,1,2020-04-23,Virginia,VA,51685,NA,NA
Calvert,125,NA,6,2020-04-23,Maryland,MD,24009,NA,NA
Charles,459,NA,34,2020-04-23,Maryland,MD,24017,NA,NA
Frederick,765,NA,41,2020-04-23,Maryland,MD,24021,NA,NA
Montgomery,3227,NA,154,2020-04-23,Maryland,MD,24031,NA,NA
Prince Georges,4403,NA,158,2020-04-23,Maryland,MD,24033,NA,NA
Jefferson,68,NA,0,2020-04-23,West Virginia,WV,54037,NA,NA
District of Columbia,3528,NA,153,2020-04-23,District of Columbia,DC,11001,NA,NA
Loudoun,498,64,10,2020-04-22,Virginia,VA,51107,NA,NA
Prince William,1027,108,18,2020-04-22,Virginia,VA,51153,NA,NA
Fairfax City,26,3,2,2020-04-22,Virginia,VA,51600,NA,NA
Fairfax,2362,431,76,2020-04-22,Virginia,VA,51059,NA,NA
Spotsylvania,94,20,3,2020-04-22,Virginia,VA,51177,NA,NA
Falls Church,25,2,2,2020-04-22,Virginia,VA,51610,NA,NA
Alexandria City,512,74,14,2020-04-22,Virginia,VA,51510,NA,NA
Fauquier,64,6,1,2020-04-22,Virginia,VA,51061,NA,NA
Manassas,127,18,1,2020-04-22,Virginia,VA,51683,NA,NA
Stafford,180,38,2,2020-04-22,Virginia,VA,51179,NA,NA
Arlington,686,118,24,2020-04-22,Virginia,VA,51013,NA,NA
Warren,30,3,0,2020-04-22,Virginia,VA,51187,NA,NA
Manassas Park,38,6,1,2020-04-22,Virginia,VA,51685,NA,NA
Fredericksburg,20,3,0,2020-04-22,Virginia,VA,51630,NA,NA
Clarke,7,1,0,2020-04-22,Virginia,VA,51043,NA,NA
Rappahannock,1,0,0,2020-04-22,Virginia,VA,51157,NA,NA
Culpeper,84,9,1,2020-04-22,Virginia,VA,51047,NA,NA
Calvert,121,NA,6,2020-04-22,Maryland,MD,24009,NA,NA
Charles,442,NA,32,2020-04-22,Maryland,MD,24017,NA,NA
Frederick,690,NA,36,2020-04-22,Maryland,MD,24021,NA,NA
Montgomery,3060,NA,139,2020-04-22,Maryland,MD,24031,NA,NA
Prince Georges,4141,NA,150,2020-04-22,Maryland,MD,24033,NA,NA
Jefferson,65,NA,0,2020-04-22,West Virginia,WV,54037,NA,NA
District of Columbia,3361,NA,139,2020-04-22,District of Columbia,DC,11001,NA,NA
Fairfax City,25,2,1,2020-04-21,Virginia,VA,51600,NA,NA
Falls Church,25,2,1,2020-04-21,Virginia,VA,51610,NA,NA
Stafford,170,38,2,2020-04-21,Virginia,VA,51179,NA,NA
Manassas Park,34,6,1,2020-04-21,Virginia,VA,51685,NA,NA
Alexandria City,474,65,12,2020-04-21,Virginia,VA,51510,NA,NA
Loudoun,475,61,9,2020-04-21,Virginia,VA,51107,NA,NA
Spotsylvania,83,20,3,2020-04-21,Virginia,VA,51177,NA,NA
Warren,27,3,0,2020-04-21,Virginia,VA,51187,NA,NA
Culpeper,73,9,1,2020-04-21,Virginia,VA,51047,NA,NA
Arlington,663,116,24,2020-04-21,Virginia,VA,51013,NA,NA
Fauquier,56,5,1,2020-04-21,Virginia,VA,51061,NA,NA
Rappahannock,1,0,0,2020-04-21,Virginia,VA,51157,NA,NA
Prince William,924,101,17,2020-04-21,Virginia,VA,51153,NA,NA
Fairfax,2256,405,66,2020-04-21,Virginia,VA,51059,NA,NA
Fredericksburg,17,3,0,2020-04-21,Virginia,VA,51630,NA,NA
Clarke,6,1,0,2020-04-21,Virginia,VA,51043,NA,NA
Manassas,117,15,0,2020-04-21,Virginia,VA,51683,NA,NA
